pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width
TB-TOB:PAS_36,TB-TOB:ZP_20_N,TB-TOB:ZP_24_N,1,1,22.5,16,,,4.0
TB-TOB:ESCN_12,TB-TOB:ESCN_12_BOT,TB-TOB:ESCN_12_TOP,2,1,,12,43,,2.4
TB-TOB:PAS_37,TB-TOB:ZP_24_N,TB-TOB:ZP_23_N,1,1,4.4,3,,,
TOB:ASC04,TOB:ASC04_BOT,TOB:ASC04_TOP,5,1,,30,,,
TB-TOB:PAS_38,TOB:ASC04_TOP,TB-TOB:ZP_24_N,1,1,4.0,2,,,
TB-TOB:PAS_39,TB-TOB:ESCN_12_TOP,TB-TOB:ZP_24_N,1,1,6.3,4,,,2.4
TB-TOB:PAS_40,TOB:ASC01_TOP,TB-TOB:ZP_21_N,1,1,4.7,3,,,
TB-TOB:PAS_41,TB-TOB:ZP_17_N,TB-TOB:ZP_20_N,1,1,27.3,19,,,4.7
TB-TOB:PAS_42,TB-TOB:ZP_21_N,TB-TOB:ZP_22_N,1,1,22.5,16,,,4.0
TB-TOB:PAS_43,TB-TOB:ZP_22_N,TB-TOB:ZP_23_N,1,1,4.4,3,,,
TB-TOB:ESCN_E1F1,TB-TOB:ESCN_E1F1_TOP,TB-TOB:ESCN_E1F1_BOT,2,1,,4,-16,,4.0
TB-TOB:PAS_44,TB-TOB:ZP_22_N,TB-TOB:ESCN_E1F1_TOP,1,1,8.0,5,,,
TB-TOB:PAS_45,TB-TOB:ESCN_E1F1_BOT,TB-TOB:ZP_25,1,1,19.3,13,,,3.0
TB-TOB:PAS_46,TB-TOB:ZP_25,TB-TOB:ZP_26,1,1,6.6,4,,,7.5
TB-TOB:PDS_01,TB-TOB:ZP_26,TB-TOB:ZNP_09,7,0,2.0,5,,,
TB-TOB:BO_02,TB-TOB:ZNP_09,TB-TOB:ZP_26,6,0,2.0,4,,,
TOB:PLA01,TOB:PLA01_TOP,TOB:PLA01_BOT,5,1,,30,,,
TB-TOB:PAS_47,TOB:PLA01_BOT,TB-TOB:ZP_25,1,1,19.3,13,,,3.0
TB-TOB:PAS_48,TB-TOB:ZP_22_N,TOB:PLA01_TOP,1,1,8.0,5,,,
TB-TOB:PAS_49,TOB:ESC12_TOP,TB-TOB:ZP_25,1,1,7.0,5,,,4.0
TB-TOB:PAS_50,TOB:ESC13_TOP,TB-TOB:ZP_25,1,1,7.0,5,,,4.0
TB-TOB:PAS_51,TOB:ESC07_TOP,TB-TOB:ZP_22_N,1,1,6.6,4,,,
TB-TOB:PAS_52,TOB:ESC06_TOP,TB-TOB:ZP_22_N,1,1,6.6,4,,,
TOB:ESC07,TOB:ESC07_BOT,TOB:ESC07_TOP,4,0,,11,,,1.0
TOB:ESC06,TOB:ESC06_BOT,TOB:ESC06_TOP,4,0,,11,,,1.0
TOB:ASC01,TOB:ASC01_BOT,TOB:ASC01_TOP,5,1,,30,,,
TB-TOB:PAS_53,TB-TOB:ZP_23_N,TB-TOB:ESCN_10_BOT,1,1,7.1,5,,,
TB-TOB:PAS_54,TB-TOB:ZP_23_N,TOB:ESC01_BOT,1,1,3.6,2,,,
TOB:ESC01,TOB:ESC01_BOT,TOB:ESC01_TOP,4,0,,9,,,1.0
TB-TOB:ESCN_10,TB-TOB:ESCN_10_BOT,TB-TOB:ESCN_10_TOP,2,1,,9,30,,2.0
TOB:ESC14,TOB:ESC14_BOT,TOB:ESC14_TOP,4,0,,14,,,1.0
TOB:ESC15,TOB:ESC15_BOT,TOB:ESC15_TOP,4,0,,14,,,1.0
TOB:ESC16,TOB:ESC16_BOT,TOB:ESC16_TOP,4,0,,11,,,1.0
TOB:ESC17,TOB:ESC17_BOT,TOB:ESC17_TOP,4,0,,11,,,1.0
TB-TOB:PAS_F1,TB-TOB:F,TOB:ESC17_BOT,1,1,0.1,,,,
TB-TOB:PAS_F3,TOB:ESC17_TOP,TB-TOB:ZNP_12,1,1,4.2,3,,,3.0
TB-TOB:PAS_F4,TB-TOB:ZNP_12,TOB:ESC16_BOT,1,1,4.2,3,,,3.0
TB-TOB:PAS_F2,TOB:ESC16_TOP,TB-TOB:F,1,1,0.1,,,,
TB-TOB:PAS_F5,TB-TOB:ZNP_12,TOB:ESC15_BOT,1,1,4.2,3,,,3.0
TB-TOB:PAS_F6,TOB:ESC14_TOP,TB-TOB:ZNP_12,1,1,4.2,3,,,3.0
TB-TOB:PAS_F7,TOB:ESC15_TOP,TB-TOB:ZNP_09,1,1,31.0,22,,,
TB-TOB:PAS_F8,TB-TOB:ZNP_09,TOB:ESC14_BOT,1,1,31.0,22,,,
TOB:ESC18,TOB:ESC18_BOT,TOB:ESC18_TOP,4,0,,9,,,1.0
